id,genre,lang,lang_prob
ark:/67375/6H6-25KVN7LJ-D,research-article,fr,0.9245858192443848
ark:/67375/6GQ-MWLW9456-M,other,fr,0.9182840585708618
ark:/67375/6GQ-MX9SVQF7-R,book-reviews,fr,0.865069568157196
ark:/67375/6GQ-MZWGH5WW-N,book-reviews,fr,0.9278138875961304
ark:/67375/6GQ-R2BJ4GHF-D,research-article,fr,0.9484766125679016
ark:/67375/6GQ-R38H2KQM-T,review-article,fr,0.9477745294570923
ark:/67375/6H6-L2PJX1Q0-S,other,de,0.4108777344226837
ark:/67375/6H6-46Q3FW84-V,research-article,fr,0.8139627575874329
ark:/67375/1BB-94XJ1RB0-S,article,fr,0.9240955114364624
ark:/67375/1BB-BL6HQ470-1,article,de,0.38624244928359985
ark:/67375/1BB-CW4KLMW9-G,article,de,0.9931192398071289
ark:/67375/1BB-CX3F3DKX-6,article,de,0.9874898195266724
ark:/67375/1BB-FCDT6TTD-2,article,nl,0.9786096811294556
ark:/67375/1BB-J2F9C7PL-W,article,nl,0.9811283349990845
ark:/67375/1BB-LQGSNP2W-8,book-reviews,de,0.9837542176246643
ark:/67375/1BB-N0P3S49P-S,research-article,de,0.9901601672172546
ark:/67375/1BB-N4SN5S30-X,article,nl,0.978739857673645
ark:/67375/6H6-F8Z54TZ0-4,research-article,fr,0.8800062537193298
ark:/67375/6H6-FCCT6BQW-9,research-article,fr,0.8490579724311829
ark:/67375/6H6-G6QGBLTM-8,brief-communication,fr,0.9189833402633667
ark:/67375/1BB-WBW82J0C-N,article,de,0.9885159730911255
ark:/67375/1BB-XT3X21GL-W,article,it,0.6394381523132324
ark:/67375/6H6-98F3RDNL-J,research-article,de,0.9642112851142883
ark:/67375/6H6-22BNVQ1W-D,research-article,de,0.9648333191871643
ark:/67375/6H6-2Q20C3H0-C,research-article,fr,0.9393169283866882
ark:/67375/6H6-2Z08B1DK-C,research-article,fr,0.8400450944900513
ark:/67375/5FQ-0DP6715H-Q,chapter,la,0.3261133134365082
ark:/67375/6GQ-1RL8PBR3-P,research-article,fr,0.9470845460891724
ark:/67375/6GQ-1VK0K36B-C,other,it,0.9190917015075684
ark:/67375/6GQ-1XJNKM2H-S,other,fr,0.9596827626228333
ark:/67375/6GQ-1Z5M04WW-7,other,fr,0.9327324032783508
ark:/67375/6GQ-1ZC37LXV-K,other,fr,0.9511773586273193
ark:/67375/6GQ-22BPN77S-M,research-article,fr,0.9305171370506287
ark:/67375/6GQ-4ZRZRP9B-K,other,fr,0.9598938226699829
ark:/67375/6GQ-51QPW024-6,book-reviews,fr,0.851719856262207
ark:/67375/6GQ-5244JKTR-X,book-reviews,fr,0.9298722743988037
ark:/67375/6GQ-57DK0BF7-0,research-article,fr,0.9610971808433533
ark:/67375/6GQ-5BW8K1LK-W,research-article,fr,0.9035119414329529
ark:/67375/6GQ-8739RHP9-R,other,fr,0.9476099610328674
ark:/67375/6GQ-875C6HTM-8,research-article,fr,0.9736834764480591
ark:/67375/6GQ-89RB3VST-N,research-article,es,0.9474804401397705
ark:/67375/6GQ-8B467RCC-S,research-article,fr,0.9483811259269714
ark:/67375/6GQ-8BMQS15N-L,other,fr,0.9318824410438538
ark:/67375/6GQ-8F4NT8J1-C,book-reviews,fr,0.9511474370956421
ark:/67375/6GQ-8FH74DX5-3,other,fr,0.47069913148880005
ark:/67375/6GQ-8JGQVB83-8,research-article,fr,0.9571288824081421
ark:/67375/6GQ-8JSTHKGG-H,other,fr,0.9455577731132507
ark:/67375/6GQ-CFJD957Q-T,other,fr,0.9569352269172668
ark:/67375/6GQ-CGBRSGKS-4,research-article,la,0.3433583378791809
ark:/67375/6GQ-CH7VJGQR-2,research-article,fr,0.9782336950302124
ark:/67375/6GQ-CHN6RCVD-L,research-article,fr,0.9608054161071777
